dataset,metric,basis_1,basis_2,p_value,p_value_holm,significant_after_holm,effect_size_rank_biserial_r,mean_diff_1_minus_2
bng_glass,f1,harmonic,logarithmic,0.5698575973510742,1.0,False,0.12258064516129032,0.00025345971380508203
bng_glass,f1,harmonic,lorentzian,0.12413446232676506,1.0,False,-0.3247311827956989,-0.0003574443938494376
bng_glass,f1,harmonic,multiquadratic,6.146728992462158e-08,1.1924654245376587e-05,True,0.9612903225806452,0.005338875821351119
bng_glass,f1,harmonic,quartic_spline,0.1459994912147522,1.0,False,0.30752688172043013,0.0009155889999857836
bng_glass,f1,harmonic,radial,0.02084985189139843,1.0,False,0.47956989247311826,0.0015423053895172734
bng_glass,f1,harmonic,rational_quadratic,0.0050126127898693085,0.6967531777918339,False,-0.5741935483870968,-0.00149542890712695
bng_glass,f1,harmonic,rbf_gaussian,0.3492113798856735,1.0,False,0.2,0.00056364281660648
bng_glass,f1,harmonic,shepard,0.06989291124045849,1.0,False,-0.38064516129032255,-0.0011002917472782148
bng_glass,f1,harmonic,sigmoidal,0.761065473780036,1.0,False,-0.06666666666666667,-2.4584763329060788e-05
bng_glass,f1,harmonic,softmax_radial,0.5158484429121017,1.0,False,0.13978494623655913,0.00035918195612066883
bng_glass,f1,harmonic,student_t,0.4898460879921913,1.0,False,-0.14838709677419354,-0.00032695527986270623
bng_glass,f1,harmonic,wendland_c2,0.03272089920938015,1.0,False,0.44516129032258067,0.0013298394707447203
bng_glass,f1,inverse_multiquadratic,laplacian,0.10039735585451126,1.0,False,0.34623655913978496,0.0006861372359833751
bng_glass,f1,inverse_multiquadratic,logarithmic,1.6838312149047852e-06,0.0003081411123275757,True,0.8924731182795699,0.0005804149936677883
bng_glass,f1,inverse_multiquadratic,lorentzian,0.8078304156661034,1.0,False,-0.053763440860215055,-3.0489113986731375e-05
bng_glass,f1,inverse_multiquadratic,multiquadratic,9.313225746154785e-09,1.9371509552001953e-06,True,0.9870967741935484,0.005665831101213825
bng_glass,f1,inverse_multiquadratic,quartic_spline,0.008705463260412216,1.0,False,0.5397849462365591,0.0012425442798484898
bng_glass,f1,inverse_multiquadratic,radial,0.00016989745199680328,0.02854277193546295,True,0.7419354838709677,0.0018692606693799796
bng_glass,f1,inverse_multiquadratic,rational_quadratic,0.0061949919909238815,0.8239339347928762,False,-0.5612903225806452,-0.0011684736272642438
bng_glass,f1,inverse_multiquadratic,rbf_gaussian,6.286613643169403e-05,0.010938707739114761,True,0.7806451612903226,0.0008905980964691862
bng_glass,f1,inverse_multiquadratic,shepard,0.10483990423381329,1.0,False,-0.3419354838709677,-0.0007733364674155085
bng_glass,f1,inverse_multiquadratic,sigmoidal,0.5027610473334789,1.0,False,0.14408602150537633,0.00030237051653364544
bng_glass,f1,inverse_multiquadratic,softmax_radial,0.10039735585451126,1.0,False,0.34623655913978496,0.0006861372359833751
bng_glass,f1,inverse_multiquadratic,student_t,1.0,1.0,False,0.0,0.0
bng_glass,f1,inverse_multiquadratic,wendland_c2,0.00031275488436222076,0.05035353638231754,False,0.7161290322580646,0.0016567947506074265
bng_glass,f1,laplacian,logarithmic,0.7000329215079546,1.0,False,-0.08387096774193549,-0.0001057222423155868
bng_glass,f1,laplacian,lorentzian,0.0803273618221283,1.0,False,-0.36774193548387096,-0.0007166263499701064
bng_glass,f1,laplacian,multiquadratic,8.009374141693115e-08,1.529790461063385e-05,True,0.956989247311828,0.00497969386523045
bng_glass,f1,laplacian,quartic_spline,0.31839608028531075,1.0,False,0.2129032258064516,0.0005564070438651147
bng_glass,f1,laplacian,radial,0.07324407435953617,1.0,False,0.3763440860215054,0.0011831234333966045
bng_glass,f1,laplacian,rational_quadratic,5.144625902175903e-06,0.0009260326623916626,True,-0.8623655913978494,-0.0018546108632476188
bng_glass,f1,laplacian,rbf_gaussian,0.7151329666376114,1.0,False,0.07956989247311828,0.00020446086048581114
bng_glass,f1,laplacian,shepard,0.0014574769884347916,0.22007902525365353,False,-0.6430107526881721,-0.0014594737033988836
bng_glass,f1,laplacian,sigmoidal,0.3284698575735092,1.0,False,-0.2086021505376344,-0.0003837667194497296
bng_glass,f1,laplacian,softmax_radial,1.0,1.0,False,0.0,0.0
bng_glass,f1,laplacian,student_t,0.10039735585451126,1.0,False,-0.34623655913978496,-0.0006861372359833751
bng_glass,f1,laplacian,wendland_c2,0.09194962680339813,1.0,False,0.3548387096774194,0.0009706575146240515
bng_glass,f1,logarithmic,lorentzian,0.11907656863331795,1.0,False,-0.32903225806451614,-0.0006109041076545196
bng_glass,f1,logarithmic,multiquadratic,9.313225746154785e-09,1.9371509552001953e-06,True,0.9870967741935484,0.005085416107546037
bng_glass,f1,logarithmic,quartic_spline,0.15188691951334476,1.0,False,0.3032258064516129,0.0006621292861807015
bng_glass,f1,logarithmic,radial,0.026228994131088257,1.0,False,0.46236559139784944,0.0012888456757121913
bng_glass,f1,logarithmic,rational_quadratic,0.00020912662148475647,0.03450589254498482,True,-0.7333333333333333,-0.001748888620932032
bng_glass,f1,logarithmic,rbf_gaussian,0.03841841779649258,1.0,False,0.432258064516129,0.00031018310280139794
bng_glass,f1,logarithmic,shepard,0.00993151031434536,1.0,False,-0.5311827956989247,-0.0013537514610832968
bng_glass,f1,logarithmic,sigmoidal,0.4898460879921913,1.0,False,-0.14838709677419354,-0.0002780444771341428
bng_glass,f1,logarithmic,softmax_radial,0.7000329215079546,1.0,False,0.08387096774193549,0.0001057222423155868
bng_glass,f1,logarithmic,student_t,1.6838312149047852e-06,0.0003081411123275757,True,-0.8924731182795699,-0.0005804149936677883
bng_glass,f1,logarithmic,wendland_c2,0.036434996873140335,1.0,False,0.43655913978494626,0.0010763797569396383
bng_glass,f1,lorentzian,multiquadratic,1.862645149230957e-08,3.818422555923462e-06,True,0.978494623655914,0.0056963202152005565
bng_glass,f1,lorentzian,quartic_spline,0.00993151031434536,1.0,False,0.5311827956989247,0.0012730333938352212
bng_glass,f1,lorentzian,radial,0.0021877754479646683,0.3237907662987709,False,0.621505376344086,0.001899749783366711
bng_glass,f1,lorentzian,rational_quadratic,0.011303061619400978,1.0,False,-0.5225806451612903,-0.0011379845132775124
bng_glass,f1,lorentzian,rbf_gaussian,0.0426517054438591,1.0,False,0.4236559139784946,0.0009210872104559176
bng_glass,f1,lorentzian,shepard,0.140283040702343,1.0,False,-0.3118279569892473,-0.0007428473534287772
bng_glass,f1,lorentzian,sigmoidal,0.12413446232676506,1.0,False,0.3247311827956989,0.0003328596305203768
bng_glass,f1,lorentzian,softmax_radial,0.0803273618221283,1.0,False,0.36774193548387096,0.0007166263499701064
bng_glass,f1,lorentzian,student_t,0.8078304156661034,1.0,False,0.053763440860215055,3.0489113986731375e-05
bng_glass,f1,lorentzian,wendland_c2,0.0023674946278333664,0.34802171029150486,False,0.6172043010752688,0.001687283864594158
bng_glass,f1,multiquadratic,quartic_spline,6.146728992462158e-08,1.1924654245376587e-05,True,-0.9612903225806452,-0.004423286821365335
bng_glass,f1,multiquadratic,radial,2.0489096641540527e-07,3.810971975326538e-05,True,-0.9397849462365592,-0.0037965704318338456
bng_glass,f1,multiquadratic,rational_quadratic,5.587935447692871e-09,1.16787850856781e-06,True,-0.9913978494623656,-0.006834304728478069
bng_glass,f1,multiquadratic,rbf_gaussian,1.862645149230957e-08,3.818422555923462e-06,True,-0.978494623655914,-0.004775233004744639
bng_glass,f1,multiquadratic,shepard,3.5390257835388184e-08,7.00727105140686e-06,True,-0.9698924731182795,-0.006439167568629334
bng_glass,f1,multiquadratic,sigmoidal,6.146728992462158e-08,1.1924654245376587e-05,True,-0.9612903225806452,-0.00536346058468018
bng_glass,f1,multiquadratic,softmax_radial,8.009374141693115e-08,1.529790461063385e-05,True,-0.956989247311828,-0.00497969386523045
bng_glass,f1,multiquadratic,student_t,9.313225746154785e-09,1.9371509552001953e-06,True,-0.9870967741935484,-0.005665831101213825
bng_glass,f1,multiquadratic,wendland_c2,1.30385160446167e-07,2.4512410163879395e-05,True,-0.9483870967741935,-0.004009036350606399
bng_glass,f1,quartic_spline,radial,0.002560090273618698,0.3712130896747112,False,0.6129032258064516,0.0006267163895314898
bng_glass,f1,quartic_spline,rational_quadratic,1.0609626770019531e-05,0.001877903938293457,True,-0.8408602150537634,-0.0024110179071127336
bng_glass,f1,quartic_spline,rbf_gaussian,0.685047073289752,1.0,False,-0.08817204301075268,-0.0003519461833793036
bng_glass,f1,quartic_spline,shepard,0.0014574769884347916,0.22007902525365353,False,-0.6430107526881721,-0.0020158807472639984
bng_glass,f1,quartic_spline,sigmoidal,0.08406547829508781,1.0,False,-0.3634408602150538,-0.0009401737633148444
bng_glass,f1,quartic_spline,softmax_radial,0.31839608028531075,1.0,False,-0.2129032258064516,-0.0005564070438651147
bng_glass,f1,quartic_spline,student_t,0.008705463260412216,1.0,False,-0.5397849462365591,-0.0012425442798484898
bng_glass,f1,quartic_spline,wendland_c2,0.011303061619400978,1.0,False,0.5225806451612903,0.00041425047075893673
bng_glass,f1,radial,rational_quadratic,1.1920928955078125e-06,0.0002205371856689453,True,-0.9010752688172043,-0.0030377342966442233
bng_glass,f1,radial,rbf_gaussian,0.13473508320748806,1.0,False,-0.3161290322580645,-0.0009786625729107934
bng_glass,f1,radial,shepard,0.00012333691120147705,0.021213948726654053,True,-0.7548387096774194,-0.002642597136795488
bng_glass,f1,radial,sigmoidal,0.011303061619400978,1.0,False,-0.5225806451612903,-0.0015668901528463341
bng_glass,f1,radial,softmax_radial,0.07324407435953617,1.0,False,-0.3763440860215054,-0.0011831234333966045
bng_glass,f1,radial,student_t,0.00016989745199680328,0.02854277193546295,True,-0.7419354838709677,-0.0018692606693799796
bng_glass,f1,radial,wendland_c2,0.07324407435953617,1.0,False,-0.3763440860215054,-0.00021246591877255305
bng_glass,f1,rational_quadratic,rbf_gaussian,0.00020912662148475647,0.03450589254498482,True,0.7333333333333333,0.00205907172373343
bng_glass,f1,rational_quadratic,shepard,0.08793856762349606,1.0,False,0.35913978494623655,0.0003951371598487352
bng_glass,f1,rational_quadratic,sigmoidal,0.0032229889184236526,0.464110404253006,False,0.6,0.0014708441437978892
bng_glass,f1,rational_quadratic,softmax_radial,5.144625902175903e-06,0.0009260326623916626,True,0.8623655913978494,0.0018546108632476188
bng_glass,f1,rational_quadratic,student_t,0.0061949919909238815,0.8239339347928762,False,0.5612903225806452,0.0011684736272642438
bng_glass,f1,rational_quadratic,wendland_c2,1.1920928955078125e-06,0.0002205371856689453,True,0.9010752688172043,0.0028252683778716703
bng_glass,f1,rbf_gaussian,shepard,0.00993151031434536,1.0,False,-0.5311827956989247,-0.0016639345638846947
bng_glass,f1,rbf_gaussian,sigmoidal,0.20540969260036945,1.0,False,-0.26881720430107525,-0.0005882275799355408
bng_glass,f1,rbf_gaussian,softmax_radial,0.7151329666376114,1.0,False,-0.07956989247311828,-0.00020446086048581114
bng_glass,f1,rbf_gaussian,student_t,6.286613643169403e-05,0.010938707739114761,True,-0.7806451612903226,-0.0008905980964691862
bng_glass,f1,rbf_gaussian,wendland_c2,0.21293285302817822,1.0,False,0.2645161290322581,0.0007661966541382403
bng_glass,f1,shepard,sigmoidal,0.06666470877826214,1.0,False,0.3849462365591398,0.001075706983949154
bng_glass,f1,shepard,softmax_radial,0.0014574769884347916,0.22007902525365353,False,0.6430107526881721,0.0014594737033988836
bng_glass,f1,shepard,student_t,0.10483990423381329,1.0,False,0.3419354838709677,0.0007733364674155085
bng_glass,f1,shepard,wendland_c2,0.00031275488436222076,0.05035353638231754,False,0.7161290322580646,0.002430131218022935
bng_glass,f1,sigmoidal,softmax_radial,0.3284698575735092,1.0,False,0.2086021505376344,0.0003837667194497296
bng_glass,f1,sigmoidal,student_t,0.5027610473334789,1.0,False,-0.14408602150537633,-0.00030237051653364544
bng_glass,f1,sigmoidal,wendland_c2,0.018529480323195457,1.0,False,0.4881720430107527,0.001354424234073781
bng_glass,f1,softmax_radial,student_t,0.10039735585451126,1.0,False,-0.34623655913978496,-0.0006861372359833751
bng_glass,f1,softmax_radial,wendland_c2,0.09194962680339813,1.0,False,0.3548387096774194,0.0009706575146240515
bng_glass,f1,student_t,wendland_c2,0.00031275488436222076,0.05035353638231754,False,0.7161290322580646,0.0016567947506074265
fetal_health,f1,attention,cauchy,0.36056673509747184,1.0,False,-0.21333333333333335,0.004070663568641775
fetal_health,f1,attention,cosine,8.326023817062378e-07,0.00017484650015830994,True,0.9096774193548387,0.07108332750999397
fetal_health,f1,attention,cubic_spline,8.326023817062378e-07,0.00017484650015830994,True,0.9096774193548387,0.07265580527510745
fetal_health,f1,attention,entropic,0.06056523136794567,1.0,False,-0.3935483870967742,0.000801225565640995
fetal_health,f1,attention,gen_exponential,0.058573296793890506,1.0,False,0.49473684210526314,0.003015839739198667
fetal_health,f1,attention,harmonic,0.002852521233431342,0.28810464457656554,False,0.8011695906432749,0.005598388690966016
fetal_health,f1,attention,inverse_multiquadratic,0.8076239898901056,1.0,False,0.05928853754940711,0.008225118637430417
fetal_health,f1,attention,laplacian,0.023410143330693245,1.0,False,-0.47096774193548385,-0.009625692433959554
fetal_health,f1,attention,logarithmic,0.23116721286114483,1.0,False,0.27384615384615385,0.010791380827600228
fetal_health,f1,attention,lorentzian,0.00016229894900734112,0.02142346126896903,True,-0.8985507246376812,-0.009899024795093359
fetal_health,f1,attention,multiquadratic,0.0011812268496292772,0.12898581102490425,False,0.7142857142857143,0.019356059129925662
fetal_health,f1,attention,quartic_spline,9.98377799987793e-07,0.00020267069339752197,True,0.9053763440860215,0.07393462106092091
fetal_health,f1,attention,radial,0.013663241639733315,1.0,False,-0.5096774193548387,-0.010871089725326188
fetal_health,f1,attention,rational_quadratic,0.004939931735104197,0.4347139926891693,False,-0.6190476190476191,-0.008999162144038564
fetal_health,f1,attention,rbf_gaussian,0.06056523136794567,1.0,False,-0.3935483870967742,0.000801225565640995
fetal_health,f1,attention,shepard,0.028811461269779036,1.0,False,-0.4729064039408867,-0.00311566100067856
fetal_health,f1,attention,sigmoidal,0.009301122277975082,0.7626920267939568,False,-0.535483870967742,-0.015188626760516744
fetal_health,f1,attention,softmax_radial,0.023410143330693245,1.0,False,-0.47096774193548385,-0.009625692433959554
fetal_health,f1,attention,student_t,0.9584199496651095,1.0,False,0.012987012987012988,0.007788602488659424
fetal_health,f1,attention,wendland_c2,8.326023817062378e-07,0.00017484650015830994,True,0.9096774193548387,0.07165188966561781
fetal_health,f1,cauchy,cosine,9.220093488693237e-06,0.0016042962670326233,True,0.8451612903225807,0.06701266394135219
fetal_health,f1,cauchy,cubic_spline,9.220093488693237e-06,0.0016042962670326233,True,0.8451612903225807,0.06858514170646568
fetal_health,f1,cauchy,entropic,0.026228994131088257,1.0,False,-0.46236559139784944,-0.0032694380030007797
fetal_health,f1,cauchy,gen_exponential,0.08766292505133104,1.0,False,0.3694581280788177,-0.0010548238294431078
fetal_health,f1,cauchy,harmonic,0.03419689190108084,1.0,False,0.458128078817734,0.0015277251223242416
fetal_health,f1,cauchy,inverse_multiquadratic,0.029898791101543674,1.0,False,0.5066666666666667,0.004154455068788643
fetal_health,f1,cauchy,laplacian,0.0038532995577025826,0.3699167575394479,False,-0.6043010752688172,-0.013696356002601329
fetal_health,f1,cauchy,logarithmic,0.00632800631023082,0.5389643032103777,False,0.6125356125356125,0.006720717258958453
fetal_health,f1,cauchy,lorentzian,0.0006067668456360628,0.07402555516759966,False,-0.8,-0.013969688363735133
fetal_health,f1,cauchy,multiquadratic,0.00045353124193926877,0.056237874000469326,False,0.7586206896551724,0.015285395561283888
fetal_health,f1,cauchy,quartic_spline,9.220093488693237e-06,0.0016042962670326233,True,0.8451612903225807,0.06986395749227914
fetal_health,f1,cauchy,radial,0.003475155681371689,0.3440404124557972,False,-0.5956989247311828,-0.014941753293967963
fetal_health,f1,cauchy,rational_quadratic,0.0010999079687827968,0.12648941641002165,False,-0.7321937321937322,-0.013069825712680339
fetal_health,f1,cauchy,rbf_gaussian,0.026228994131088257,1.0,False,-0.46236559139784944,-0.0032694380030007797
fetal_health,f1,cauchy,shepard,0.004675345803288133,0.41610577649264385,False,-0.6739130434782609,-0.007186324569320335
fetal_health,f1,cauchy,sigmoidal,0.004338232800364494,0.40779388323426247,False,-0.5827956989247312,-0.019259290329158518
fetal_health,f1,cauchy,softmax_radial,0.0038532995577025826,0.3699167575394479,False,-0.6043010752688172,-0.013696356002601329
fetal_health,f1,cauchy,student_t,0.04804479976978151,1.0,False,0.47101449275362317,0.0037179389200176494
fetal_health,f1,cauchy,wendland_c2,9.220093488693237e-06,0.0016042962670326233,True,0.8451612903225807,0.06758122609697603
fetal_health,f1,cosine,cubic_spline,0.11176874513967605,1.0,False,0.4666666666666667,0.0015724777651134891
fetal_health,f1,cosine,entropic,9.90256667137146e-05,0.014259696006774902,True,-0.7634408602150538,-0.07028210194435297
fetal_health,f1,cosine,gen_exponential,1.991167664527893e-06,0.00039425119757652283,True,-0.8881720430107527,-0.0680674877707953
fetal_health,f1,cosine,harmonic,1.991167664527893e-06,0.00039425119757652283,True,-0.8881720430107527,-0.06548493881902795
fetal_health,f1,cosine,inverse_multiquadratic,9.220093488693237e-06,0.0016042962670326233,True,-0.8451612903225807,-0.06285820887256355
fetal_health,f1,cosine,laplacian,5.973502993583679e-06,0.0011050980538129807,True,-0.8580645161290322,-0.08070901994395352
fetal_health,f1,cosine,logarithmic,9.220093488693237e-06,0.0016042962670326233,True,-0.8451612903225807,-0.06029194668239374
fetal_health,f1,cosine,lorentzian,8.326023817062378e-07,0.00017484650015830994,True,-0.9096774193548387,-0.08098235230508732
fetal_health,f1,cosine,multiquadratic,0.00011058151721954346,0.015149667859077454,True,-0.7591397849462366,-0.0517272683800683
fetal_health,f1,cosine,quartic_spline,0.04004379807224231,1.0,False,0.5238095238095238,0.0028512935509269477
fetal_health,f1,cosine,radial,5.973502993583679e-06,0.0011050980538129807,True,-0.8580645161290322,-0.08195441723532015
fetal_health,f1,cosine,rational_quadratic,2.7623027563095093e-06,0.0005248375236988068,True,-0.8795698924731182,-0.08008248965403253
fetal_health,f1,cosine,rbf_gaussian,9.90256667137146e-05,0.014259696006774902,True,-0.7634408602150538,-0.07028210194435297
fetal_health,f1,cosine,shepard,9.220093488693237e-06,0.0016042962670326233,True,-0.8451612903225807,-0.07419898851067253
fetal_health,f1,cosine,sigmoidal,2.348795533180237e-06,0.0004603639245033264,True,-0.8838709677419355,-0.08627195427051071
fetal_health,f1,cosine,softmax_radial,5.973502993583679e-06,0.0011050980538129807,True,-0.8580645161290322,-0.08070901994395352
fetal_health,f1,cosine,student_t,9.220093488693237e-06,0.0016042962670326233,True,-0.8451612903225807,-0.06329472502133454
fetal_health,f1,cosine,wendland_c2,0.550923682773407,1.0,False,0.18095238095238095,0.0005685621556238418
fetal_health,f1,cubic_spline,entropic,9.90256667137146e-05,0.014259696006774902,True,-0.7634408602150538,-0.07185457970946646
fetal_health,f1,cubic_spline,gen_exponential,1.6838312149047852e-06,0.0003384500741958618,True,-0.8924731182795699,-0.06963996553590879
fetal_health,f1,cubic_spline,harmonic,2.348795533180237e-06,0.0004603639245033264,True,-0.8838709677419355,-0.06705741658414144
fetal_health,f1,cubic_spline,inverse_multiquadratic,9.220093488693237e-06,0.0016042962670326233,True,-0.8451612903225807,-0.06443068663767704
fetal_health,f1,cubic_spline,laplacian,5.973502993583679e-06,0.0011050980538129807,True,-0.8580645161290322,-0.08228149770906701
fetal_health,f1,cubic_spline,logarithmic,9.220093488693237e-06,0.0016042962670326233,True,-0.8451612903225807,-0.06186442444750723
fetal_health,f1,cubic_spline,lorentzian,8.326023817062378e-07,0.00017484650015830994,True,-0.9096774193548387,-0.08255483007020081
fetal_health,f1,cubic_spline,multiquadratic,9.90256667137146e-05,0.014259696006774902,True,-0.7634408602150538,-0.05329974614518179
fetal_health,f1,cubic_spline,quartic_spline,0.21352435403618242,1.0,False,0.4666666666666667,0.0012788157858134586
fetal_health,f1,cubic_spline,radial,5.973502993583679e-06,0.0011050980538129807,True,-0.8580645161290322,-0.08352689500043364
fetal_health,f1,cubic_spline,rational_quadratic,2.7623027563095093e-06,0.0005248375236988068,True,-0.8795698924731182,-0.08165496741914602
fetal_health,f1,cubic_spline,rbf_gaussian,9.90256667137146e-05,0.014259696006774902,True,-0.7634408602150538,-0.07185457970946646
fetal_health,f1,cubic_spline,shepard,9.220093488693237e-06,0.0016042962670326233,True,-0.8451612903225807,-0.07577146627578601
fetal_health,f1,cubic_spline,sigmoidal,2.348795533180237e-06,0.0004603639245033264,True,-0.8838709677419355,-0.0878444320356242
fetal_health,f1,cubic_spline,softmax_radial,5.973502993583679e-06,0.0011050980538129807,True,-0.8580645161290322,-0.08228149770906701
fetal_health,f1,cubic_spline,student_t,9.220093488693237e-06,0.0016042962670326233,True,-0.8451612903225807,-0.06486720278644803
fetal_health,f1,cubic_spline,wendland_c2,0.07961580146011343,1.0,False,-0.8666666666666667,-0.0010039156094896473
fetal_health,f1,entropic,gen_exponential,0.10110033021878644,1.0,False,0.35467980295566504,0.002214614173557672
fetal_health,f1,entropic,harmonic,0.03841841779649258,1.0,False,0.432258064516129,0.004797163125325021
fetal_health,f1,entropic,inverse_multiquadratic,0.004338232800364494,0.40779388323426247,False,0.5827956989247312,0.0074238930717894225
fetal_health,f1,entropic,laplacian,0.1887500729032935,1.0,False,-0.30666666666666664,-0.010426917999600549
fetal_health,f1,entropic,logarithmic,0.0061949919909238815,0.5389643032103777,False,0.5612903225806452,0.009990155261959233
fetal_health,f1,entropic,lorentzian,0.4399667661637068,1.0,False,0.16559139784946236,-0.010700250360734354
fetal_health,f1,entropic,multiquadratic,0.0011314544826745987,0.12898581102490425,False,0.6559139784946236,0.018554833564284667
fetal_health,f1,entropic,quartic_spline,8.856505155563354e-05,0.013019062578678131,True,0.7677419354838709,0.07313339549527992
fetal_health,f1,entropic,radial,0.18081236677854295,1.0,False,-0.3188405797101449,-0.011672315290967183
fetal_health,f1,entropic,rational_quadratic,1.0,1.0,False,0.002150537634408602,-0.009800387709679559
fetal_health,f1,entropic,rbf_gaussian,1.0,1.0,False,0.0,0.0
fetal_health,f1,entropic,shepard,0.20588664640290355,1.0,False,0.2689655172413793,-0.003916886566319555
fetal_health,f1,entropic,sigmoidal,0.18357532003674315,1.0,False,-0.2827586206896552,-0.01598985232615774
fetal_health,f1,entropic,softmax_radial,0.1887500729032935,1.0,False,-0.30666666666666664,-0.010426917999600549
fetal_health,f1,entropic,student_t,0.004338232800364494,0.40779388323426247,False,0.5827956989247312,0.006987376923018429
fetal_health,f1,entropic,wendland_c2,9.90256667137146e-05,0.014259696006774902,True,0.7634408602150538,0.07085066409997681
fetal_health,f1,gen_exponential,harmonic,0.11192770811902444,1.0,False,0.4269005847953216,0.0025825489517673494
fetal_health,f1,gen_exponential,inverse_multiquadratic,0.3313349065031326,1.0,False,-0.22666666666666666,0.005209278898231751
fetal_health,f1,gen_exponential,laplacian,0.016877583744026235,1.0,False,-0.5080459770114942,-0.01264153217315822
fetal_health,f1,gen_exponential,logarithmic,0.8400716444402775,1.0,False,-0.046153846153846156,0.007775541088401561
fetal_health,f1,gen_exponential,lorentzian,0.00011890609974290849,0.016171229565035555,True,-0.8325123152709359,-0.012914864534292025
fetal_health,f1,gen_exponential,multiquadratic,0.01012799054939065,0.8001112534018613,False,0.6,0.016340219390726995
fetal_health,f1,gen_exponential,quartic_spline,1.1920928955078125e-06,0.00024080276489257812,True,0.9010752688172043,0.07091878132172225
fetal_health,f1,gen_exponential,radial,0.008705463260412216,0.7225534506142139,False,-0.5397849462365591,-0.013886929464524855
fetal_health,f1,gen_exponential,rational_quadratic,0.0036337564975753973,0.35610813676238895,False,-0.6183908045977011,-0.01201500188323723
fetal_health,f1,gen_exponential,rbf_gaussian,0.10110033021878644,1.0,False,-0.35467980295566504,-0.002214614173557672
fetal_health,f1,gen_exponential,shepard,0.013920291390102778,1.0,False,-0.5320197044334976,-0.006131500739877227
fetal_health,f1,gen_exponential,sigmoidal,0.0037444327026605606,0.3632099721580744,False,-0.5913978494623656,-0.01820446649971541
fetal_health,f1,gen_exponential,softmax_radial,0.016877583744026235,1.0,False,-0.5080459770114942,-0.01264153217315822
fetal_health,f1,gen_exponential,student_t,0.2641496340638618,1.0,False,-0.2553846153846154,0.004772762749460757
fetal_health,f1,gen_exponential,wendland_c2,1.6838312149047852e-06,0.0003384500741958618,True,0.8924731182795699,0.06863604992641914
fetal_health,f1,harmonic,inverse_multiquadratic,0.1353498838175801,1.0,False,-0.3415384615384615,0.002626729946464401
fetal_health,f1,harmonic,laplacian,0.009301122277975082,0.7626920267939568,False,-0.535483870967742,-0.01522408112492557
fetal_health,f1,harmonic,logarithmic,0.5097549306564958,1.0,False,-0.15076923076923077,0.005192992136634211
fetal_health,f1,harmonic,lorentzian,4.902548445975014e-05,0.007353822668962521,True,-0.8941798941798942,-0.015497413486059375
fetal_health,f1,harmonic,multiquadratic,0.06556979415629481,1.0,False,0.4131054131054131,0.013757670438959646
fetal_health,f1,harmonic,quartic_spline,2.348795533180237e-06,0.0004603639245033264,True,0.8838709677419355,0.0683362323699549
fetal_health,f1,harmonic,radial,0.00665340320299728,0.5588858690517715,False,-0.5770114942528736,-0.016469478416292205
fetal_health,f1,harmonic,rational_quadratic,0.0031259317412509913,0.3125931741250991,False,-0.6507936507936508,-0.01459755083500458
fetal_health,f1,harmonic,rbf_gaussian,0.03841841779649258,1.0,False,-0.432258064516129,-0.004797163125325021
fetal_health,f1,harmonic,shepard,0.012250105740979877,0.9555082477964304,False,-0.541871921182266,-0.008714049691644576
fetal_health,f1,harmonic,sigmoidal,0.0021877754479646683,0.22534087114036083,False,-0.621505376344086,-0.02078701545148276
fetal_health,f1,harmonic,softmax_radial,0.009301122277975082,0.7626920267939568,False,-0.535483870967742,-0.01522408112492557
fetal_health,f1,harmonic,student_t,0.10138633324386155,1.0,False,-0.36752136752136755,0.0021902137976934077
fetal_health,f1,harmonic,wendland_c2,2.348795533180237e-06,0.0004603639245033264,True,0.8838709677419355,0.06605350097465179
fetal_health,f1,inverse_multiquadratic,laplacian,0.0011314544826745987,0.12898581102490425,False,-0.6559139784946236,-0.01785081107138997
fetal_health,f1,inverse_multiquadratic,logarithmic,0.10894087157711467,1.0,False,0.45588235294117646,0.00256626219016981
fetal_health,f1,inverse_multiquadratic,lorentzian,0.0002037784595615102,0.026287421283434816,True,-0.8666666666666667,-0.018124143432523776
fetal_health,f1,inverse_multiquadratic,multiquadratic,0.00017437265613726082,0.022842817953981166,True,0.8584615384615385,0.011130940492495245
fetal_health,f1,inverse_multiquadratic,quartic_spline,9.220093488693237e-06,0.0016042962670326233,True,0.8451612903225807,0.0657095024234905
fetal_health,f1,inverse_multiquadratic,radial,0.0007296018302440643,0.08682261779904366,False,-0.6774193548387096,-0.019096208362756606
fetal_health,f1,inverse_multiquadratic,rational_quadratic,0.000283263623714447,0.03597448021173477,True,-0.7204301075268817,-0.01722428078146898
fetal_health,f1,inverse_multiquadratic,rbf_gaussian,0.004338232800364494,0.40779388323426247,False,-0.5827956989247312,-0.0074238930717894225
fetal_health,f1,inverse_multiquadratic,shepard,0.0005054883658885956,0.062175069004297256,False,-0.6946236559139785,-0.011340779638108978
fetal_health,f1,inverse_multiquadratic,sigmoidal,0.0020201820880174637,0.21009893715381622,False,-0.6258064516129033,-0.02341374539794716
fetal_health,f1,inverse_multiquadratic,softmax_radial,0.0011314544826745987,0.12898581102490425,False,-0.6559139784946236,-0.01785081107138997
fetal_health,f1,inverse_multiquadratic,student_t,0.31731050786291415,1.0,False,-1.0,-0.00043651614877099343
fetal_health,f1,inverse_multiquadratic,wendland_c2,9.220093488693237e-06,0.0016042962670326233,True,0.8451612903225807,0.06342677102818739
